title,chapter_number,summary
Bloomers and the Monkey King,1,"The cover features Goku riding with Bulma while she is driving the Capsule #9 Motorcycle through a forest. The cover art for this chapter is also featured in the Akira Toriyama - The World artbooks and Daizenshuu 1.
 Goku in the woods A young boy by the name Goku is seen rolling a tree stump down to his house while waving to some monkeys. When he gets home Goku throws the tree stump in the air to break it into firewood. After chopping wood he greets his grandfather's artifact and heads off through the woods, hunting for his next meal. While looking through the woods he decides to jump down a cliff to hunt for a Giant Fish which he catches by skinny dipping and luring it with his tail and then kills by kicking it.
 On his way back home, he is suddenly hit by the car of a girl named Bulma. Goku first thinks Bulma and her car to be monsters and ends up destroying the car. Bulma gets angry and starts shooting at him with a gun but after finding that it is not effective she quickly surrenders and reveals to Goku that she is a human girl from the city. Goku, having never seen a girl before, curiously examines her and invites her to his house for lunch.
 Goku and Bulma's first meeting Upon arriving at his house, Bulma realizes that Goku is in possession of a Dragon Ball, gets excited, and grabs it. Goku quickly takes it away from her and tells her that it was a keepsake from his deceased grandfather. She explains that the Dragon Balls can summon a dragon that grants wishes when all seven are gathered and she has already collected two of them. Bulma tries to convince Goku to give her his Dragon Ball by lifting her skirt up revealing her panties to let him touch her bottom but Goku rejects the offer. Reluctant to give up his only heirloom, Goku says that he will accompany Bulma and that she can use his ball at the end.
 Goku defeating the Pterodactyl Just before the two set off on their quest, Bulma explains to Goku that they will be able to find the Dragon Balls using a device called the Dragon Radar. Next, Bulma takes out her capsule case and uses Capsule #9 which is a Motorcycle. While heading off on the motorcycle, Bulma eventually drives the motorcycle off a steep hill and luckily lands safely— but not before frightening her and causing her to need to stop to use the bathroom.
 Before she can go, she is kidnapped by a large pterodactyl. Alerted by Bulma's screams, Goku decides to investigate and finds Bulma in the pterodactyl's grasp. The pterodactyl claims to be a friend of Bulma, which Goku believes, allowing the pterodactyl to tie Goku to a tree while he says he needs to talk with Bulma. As the pterodactyl flies off with her, Bulma yells for Goku to help him. Goku easily unties the rope using his tail and goes after them. Goku uses Bulma's Capsule Bike to get some air, before using his Power Pole to knock-out the beast mid-flight and saves Bulma before she hits the ground by throwing the pole through her sleeves, pinning her to the side of a cliff. As the chapter ends, Goku lands safely as well, only to discover a scared & humiliated, Bulma crying as she pees her pants.
 The Four-Star Dragon Ball Goku picking up the broken pieces of wood"
No Balls!,2,"The cover features Bulma inside of flying vehicle piloting it. Goku is seen wearing goggles on his head and riding the Flying Nimbus despite him not having it in the story yet.
 Bulma's Capsule House After Bulma and Goku cross a bridge on a motorcycle, Bulma declares that they should call it a night and uses one of her capsules to make a Capsule House appear so they do not have to sleep outside. Inside, Goku is overwhelmed by the modern technology of lights and television. Bulma ends up smelling Goku and tells him he must take a bath, but Goku does not know what one is.
 Since Goku does not know what a bath is, Bulma must give him one. While washing Goku, she discovers that his tail is real and that it can move by itself. When Bulma finds out, she begins to assume that all males had tails since it is the first time she sees a boy naked. After being freaked out by Goku's tail, Bulma decides to calm herself down by having a bubble bath. While relaxing in a bath of her own, Goku ends up ruining it by barging in and making comments about how her breasts look like a butt.
 Bulma finding out that Goku's tail is real At dinner time, Goku shows a dislike for civilized foods, such as bread, so he goes out and catches a wolf and centipede for supper, which ends up disgusting Bulma. When it comes time to get ready to bed, Goku plans on sleeping in bed with Bulma, but she makes a bed for him on the floor. While Bulma is brushing her teeth, she asks him what happened to his parents which Goku replies that he does not know but he thinks they abandoned him in the forest and his grandpa found him and kept him. When Bulma explains that she is on her quest because of Summer vacation, Goku ends up not listening and falls asleep.
 Goku finding out that girls do not have balls Later on, after the two have gone to sleep, Goku wakes up and goes over to a sleeping Bulma in her underwear and discovers Bulma's ""pillow"". Goku proceeds to lie between Bulma's legs and discovers that she lacks male genitalia and is shocked because he does not know the difference between men and women. His surprise wakes Bulma, and Goku shudders ""you've lost your balls!"" Bulma, thinking Goku was talking about the Dragon Balls, rushes over to them to find that they are all intact. Afterwards, a dark shadow of a Turtle is shown approaching the house.
 The Owl eating a mouse"
Sea Monkeys,3,"The cover features Goku and Bulma riding a giant lizard-like creature. Goku is sitting in front while holding a guan dao and Bulma is on the back, scared, while holding on to the creature's tail. The cover art for this chapter is also featured in the Akira Toriyama - The World artbooks and Daizenshuu 1.
 Goku thinking Bulma turned into a turtle Bulma is getting ready to continue her quest for the Dragon Balls. Goku is impatient with her, because she takes too long brushing her hair, stating, ""if you were any slower, you'd turn into a turtle"". Bored, Goku goes outside to train by breaking rocks with his bear hands. He then mistakes a sea turtle for a rock and picks it up. Goku believes that Bulma actually turned into a turtle and is confused when the real Bulma comes outside. After Bulma gives the turtle some sea water, he explains that he was out gathering mushrooms when he got lost and could not find his way back to the sea for a whole year.
 Goku defeating the Bear Thief with Jan-Ken Fist Bulma tells the Turtle that the ocean is 120 kilometers away which Goku offers to take him back to the ocean. Bulma rejects the idea but Goku sets out to do so anyway. Bulma, who originally did not want to help, found herself joining in anyway since he Goku still has his Dragon Ball and that she did not want to be left out alone with Dinosaurs wandering. On their journey to the sea, the group come across a giant Bear Thief, who planned on eating Turtle. Goku easily fights him off, showing his Jan-Ken Fist attack for the first time.
 The Turtle bringing a mysterious old man When the group finally arrives at the seaside, the Turtle is grateful for their help and says that he will bring them a gift. Goku and Bulma decide to enjoy the beach while they wait. After waiting, Goku and Bulma spot the turtle in the distance, with something on his back. Much to the pairs confusion, it is an old man wearing a turtle shell.
 The archaeopteryx on the right-hand panel Robotoriyama's brief cameo"
They Call Him... the Turtle Hermit!,4,"The cover shows Bulma standing in front of a colored background with various geometric shapes overlapping it while wearing a different outfit than she always wears, carrying an Uzi in one hand with her other hand on her hip as she has a smile on her face while standing next to a motorcycle. On the other hand, Goku appears in the background floating while holding the Power Pole.
 Goku being accepted by the Flying Nimbus Goku and Bulma greet the old man after he jumps off the turtle onto the beach. He tells them his name is Master Roshi, the turtle hermit. Umigame tells him that Goku was the one that helped him so the old man attempts to give him the Immortal Phoenix but unfortunately he forgot that it died because of tainted bird seeds. Goku is given the Flying Nimbus instead but Kame-sen'nin says only pure hearted people can ride it which rejected himself. When Goku attempted to get on it worked and he flew around the beach happily.
 Bulma, who desperately wanted something, asked if she can get something too. The old hermit agreed if she will show him her panties. Bulma lifts her night gown up to show him but she did not know that Goku took them off of her earlier in the morning while she was sleeping so he saw more than we wanted. Kame-sen'nin, who got a nose bleed, decided to give Bulma something but while he was thinking Bulma spotted he was wearing a Dragon Ball and said she wanted that instead, so he gave it to her. After telling Goku that she got another Dragon Ball Kame-sen'nin got hesitant on giving it to her but that changed when she lifted her dress up again at him.
 Goku and Bulma arriving in Aru Village After the hermit left, Goku and Bulma headed back to pack the Capsule House back into its Capsule. Just before doing so, Bulma went to change her clothes but was shocked to see that her panties are on the floor. Goku admits to taking them off of her while she was sleeping so she got mad and pulled out a machine gun and shot him, and threatens to kill him if he ever does so again. Just before they head off, Bulma still wants to rise the nimbus, but Goku reminds her that she needs to be pure hearted, which she angrily assures Goku, and proceeds to jump on the nimbus only to be rejected and fall to the ground, leaving her crushed to know that she isn’t pure hearted, and forced to continue to depend on her capsules.
 Three days later, Bulma finds out that the Dragon Radar indicates that they are close by to the next Dragon Ball. They discover Aru Village up ahead which is where it should be so they decide to go into to town which they find to be suspiciously empty.
 Bulma finding Aru Village by the Dragon Radar"
Oo! Oo! Oolong!,5,"The cover features Bulma wearing a military uniform and standing in front of an airplane, while Goku is standing behind, curiously looking at it. The cigarette in Bulma's mouth was removed for the Kanzenban edition.
 Goku and Bulma wondering why the village is deserted While arriving at the deserted town with Bulma, Goku claims to sense the presence of people around. When trying to find them, he punches open the door to the house of Sherman Priest, only to him come out bring an axe down on his head. The axe shatters when hitting Goku's hard head, frightening both the Sherman Priest and Bulma. Sherman Priest first seems to think Goku is the shapeshifting demon named Oolong who has been terrorizing their town and kidnapping the villagers daughters.
 Goku disguised as a girl After convincing him and the rest of the town, that they were not demons, Bulma asked the townspeople if they have seen a Dragon Ball nearby. An old woman of the village said that she has one, and agrees to give it to them as long as Bulma and Goku can get rid of Oolong and rescue the girls for them. Since no one in the village knows where Oolong's lair is, Bulma comes up with a plan to dress Goku up as Sherman Priest's daughter whom is Oolong's next target.
 Goku removing the dress to prepare to fight Oolong Oolong shows up later that day as a large, grotesque groom. The demon mistakes Goku's desire to pee for shyness and changes into a gentlemanly form. Seeing his new, handsome shape, Bulma runs out and attempts to woo Oolong. While thinking about which woman to choose, Oolong notices Goku peeing on a tree off to one side while still standing. Enraged at being tricked, Oolong changes into a gigantic bull. Goku gets rid of the girl's clothing and challenges Oolong to battle.
"
"So Long, Oolong!",6,"The cover features Bulma in the seat of a Capsule #10 car while Oolong is searching through the trunk and Goku watching him.
 Goku running past Oolong's real form without even knowing As Oolong and Goku are about to begin their fight, Oolong notices the time and unexpectedly runs away. Goku runs after him but quickly loses sight. He comes across a piglet who points him in the direction that he claims the bull has run off to. However it is revealed that this piglet is Oolong's original form, and we learn that his powers are limited by time. He can transforms as many times as he wishes during the span of five minutes, after which he must rest for a whole minute.
 Oolong trying to intimidate Goku with his robot form As Goku return to the village announcing Oolong has escaped, the minute is over and Oolong transforms into a ramen-carrying monster. He threatens Goku with dipping him into the hot bowl of soup if he does not give up. At that moment, Oolong dips his finger in the soup and is attacked by a small child with a slingshot and Goku begins to question Oolong's real strength.
 Goku chasing Oolong through the skies Oolong sees Goku's confidence in his strength and challenges him to break a stack of bricks which Goku does with only one finger. Astonished, Oolong changes into a bat and flies away, however Goku follows him on his Flying Nimbus catching up instantly. Oolong then tries to change into a rocket but the five minutes are up and he changes back to his original form.
 Goku holding Oolong to a leash while he apologizes to the villagers Goku captures him and brings him back to the village where the citizens all find out that he was just a small pig. While being tied to a leash held by Goku, Oolong walks the villagers to his hideout which is a large mansion. They find that the missing girls were living in luxury the whole time and were wearing Oolong out.
 Bulma driving a boat telling Oolong that he is going to join them Later on, Bulma is shown driving a boat down a river with Goku and now taking Oolong along with them. Bulma decides to take him along in their journey thinking his abilities might come in handy. While Oolong attempts to decline, Bulma teases him by saying that its been getting hot and that she is probably going to sleep in her underwear instantly making Oolong decide to stick around. Goku then pats Oolong's crotch where he finds out that Oolong is male making Oolong mad for being touched by a guy.
 Bulma receiving the Dragon Ball before arriving at Oolong's mansion"
Yamcha and Pu'ar,7,"The cover features Puar and Yamcha. Yamcha is wearing a white headband and holding his sword over his shoulder. This is also the first manga chapter cover to not feature Goku or Bulma.
 Bulma giving Oolong the PP Candy On driving a boat down a river to their next destination, Bulma mentions they are headed to a place near Fry-Pan Mountain. In a panic, Oolong transforms into a fish and escapes, However, while Goku attempts to strip and dive in to go after him, Bulma removes her panties and uses them as bait to lure him back. Once Oolong is back on the boat, Bulma offers to eventually give Oolong a pair of her underwear if he makes himself useful and gives him a PP Candy. The boat then runs out of gas, so they have Oolong transform into a paddle that Goku uses to get the boat to shore.
 Bulma finding out her capsule case is missing Once they get on shore, Bulma tries to reach for her capsule case and realizes that she dropped it in the river. Amidst Bulma's desperation, Oolong tries once again to make a run for it, but he is unaware of the effects of the PP Candy he ate earlier which gives him diarrhea every time someone makes pig noises around him. Oolong comes back once again and is forced to transform into a motorcycle, but collapses once Bulma tries to ride it. Oolong explains that his powers are limited to appearance and does not affect his strength. After Bulma abandons the idea, Oolong transforms into a pair of panties and offers to be a replacement for the ones she used in the river, but she declines in anger and slams him into the ground.
 Yamcha seeing Goku and Oolong as his next victims Not wanting to be the only one who has to walk, Bulma forces Goku and Oolong to walk with her as they go through the Diablo Desert. As Bulma gets tired, she stops and starts throwing a tantrum demanding for the luxuries she is used to and quickly falls asleep in shade under a rock. Oolong and Goku decide to rest as well and wait for Bulma to wake up, but at the moment we see a strange-looking cat named Puar looking at them through a telescope from a nearby hideout. Puar runs inside the hideout and informs the fellow bandit Yamcha, of their next victims. They seem excited at the prospect of an easy target and fly on their jet towards them.
"
"One, Two, Yamcha-Cha!",8,"The cover features Goku, Bulma, Oolong, Yamcha and Puar. Oolong is shown running in the Diablo Desert and Yamcha are Puar are shown riding the Jet Squirrel.
 Yamcha drawing his sword Yamcha and Puar ride a Jet Squirrel up to Goku and Oolong demanding them to hand over any money or capsules in their possession. Oolong and Puar begin arguing when they realize they went to the same Shapeshifting Academy. Puar tells Yamcha how Oolong used to bully him, and that he had been expelled from the academy for stealing their teacher's panties. But as Yamcha draws his sword and continues to threaten them, Oolong convinces Goku to fight against Yamcha.
 Yamcha unleashing his Wolf Fang Fist on Goku Amidst their fight, Goku uses his Power Pole's ability to hit Yamcha. When Yamcha learns that Goku is the grandson of Gohan, he deems him a worthy adversary and decides to use his Wolf Fang Fist which sends Goku flying against a series of rock columns burying him under rubble.
 Yamcha and Bulma meeting for the first time stopping the fight Thinking Yamcha has won the battle, Oolong prepares to make an escape transforming into a fly but is quickly stopped by Puar who turns into a fly swatter. As he is about to hand away his 'Size M' capsule, Goku emerges from the rubble. Continuing their fight, Goku attacks Yamcha with his Rock, Scissors 'N' Paper but Goku admits he is hungry and no longer has energy to fight. Yamcha charges towards him when he suddenly realizes the presence of Bulma who is waking up from her nap behind a rock. Flustered, he falls over tells Puar to retreat. As they run off, Bulma shows interest in Yamcha and asks Goku and Oolong who that was. Back in their hide-out, still nervous about the encounter, Yamcha explains how he becomes uncontrollably nervous whenever there is a girl present.
 A manga panel being broken from the fight"
Dragon Balls in Danger!!,9,"The cover features Goku coming down holding his Power Pole, Bulma on the side holding her Machine Gun, and Shenron in the background.
 Yamcha and Puar discussing how to deal with Bulma With the use of Oolong's House-Wagon contained in his 'M' Capsule everyone is able to relax for the night. While Oolong is cooking food for Goku to eat and recover his strength, Bulma asks Oolong if there is a bathroom. Intending to have a bath, Bulma becomes disappointed when she finds out the bathtub is too small and decides to have a shower instead. Meanwhile, back at Yamcha's Hideout, Yamcha tells Puar of a new plan to have Bulma lured out so Yamcha can easily take their House-Wagon.
 Oolong giving Goku and Bulma juice that puts them to sleep In the House-Wagon, Goku starts explaining the legend behind the Dragon Balls to Oolong telling him that is why they are traveling. Outside, Yamcha and Puar sneak around and look into one of the windows only to accidentally see Bulma naked in the shower without her realizing. Afterwards, they eavesdrop through the other window where they hear of the power of the Dragon Balls. At the idea of being able to free himself from his weakness to women, Yamcha decides to steal the Dragon Balls instead. When Bulma comes out of the shower in a towel, she yells at Oolong for giving her his pajamas that do not fit him and asks him to have her clothes cleaned in the morning. Oolong then gives her and Goku a glass of juice in which Oolong had put a sleeping pill. As Bulma goes upstairs to bed, it quickly makes effect and both Goku and Bulma fall asleep.
 Yamcha removing the covers As Bulma is under the effects of the sleeping pill, Oolong goes upstairs intending to have his way with her unconscious body but Yamcha barges into the House-Wagon and has Puar transform into Goku and goes upstairs. In panic, Oolong transforms into Bulma thinking it is the real Goku and is lead outside, however the real Bulma is still laying naked under the covers. Yamcha comes into the room and thinking that the balls are under the covers, but after he removes them he is put in a state of shock when he sees that it is Bulma naked, causing Yamcha and Puar to retreat for the night.
 Bulma getting ready to undress Part of Bulma's shower scene Censored (left) Original (right)"
Onward to Fry-Pan...,10,"The cover features Goku riding his Flying Nimbus over a mountain region while Bulma and Oolong are riding in a hot air balloon titled Capsule #116. Bulma is holding a telescope and an airplane can be seen in the background.
 Bulma in a Bunny costume As morning approaches, Oolong sits in the driver seat of the House-Wagon holding a gun guarding just in case Yamcha decided to show up again. When Goku wakes up, Oolong goes to brush his teeth as he tells Goku about Yamcha's attempt to rob them the previous night. Bulma comes down covering herself in only a sheet yelling at Oolong for not cleaning her clothes. Instead Bulma is forced to wear a Bunny costume that was in a chest upstairs. As Oolong begins to drive the House-Wagon on its way to Fire Mountain, Yamcha spots them over from his hideout and plans for another attack.
 Yamcha destroying the House-Wagon Armed with an automatic rifle and the Panzer Faust, he rides his Mighty Mouse driven by Puar to try and stop them. As soon as he is close enough he shoots using the Panzer Faust, blowing off the driver side of the wagon and rendering Bulma unconscious. Yamcha threatens Goku and Oolong to give them the Dragon Balls but Goku becomes furious and gets ready to confront Yamcha. He tries to use his Wolf Fang Fist on Goku, but he easily repels them knocking Yamcha's tooth off in the process. Dismayed at having his gallant face destroyed, he retreats.
 Yamcha giving a car as an apology After fleeing, Yamcha comes up with a plan to secretly follow them on their quest and take the balls once they have collected all seven. As Goku carries the unconscious Bulma while traveling with Oolong through the desert, Yamcha comes back shortly after apologizing for starting off on the wrong foot and gives them a car capsule to replace the wagon. Oolong is skeptical of such a sudden change in attitude, but Yamcha drives off before they can question him further. They get on the car and drive off, unaware that Yamcha has planted a tracking device on it to follow them.
"
